Location,Year,time,Plot #,Rep,Cov_Wood,Cov_Litter,Cov_BG,Cov_Veg,Cov_Feces,HT1_Wood,HT1_Litter,HT1_Veg,HT1,HT2_Wood,HT2_Litter,HT2_Veg,HT2,HT3_Wood,HT3_Litter,HT3_Veg,HT3,HT4_Wood,HT4_Litter,HT4_Veg,HT4
Lake Morena,2018,pregoat,1,5,2,20,60,1,0,0,0,0,0,0,5,0,5,23,0,0,23,12,0,0,12
Lake Morena,2018,pregoat,1,10,2,3,65,5,0,0,0,0,0,27,0,0,27,0,0,0,0,0,1,0,1
Lake Morena,2018,pregoat,1,15,10,4,62,30,0,13,1,79,79,5,2,49,49,10,0,0,10,0,1,0,1
Lake Morena,2018,pregoat,1,20,0.5,1,95,5,0,0,2,9,9,0,0,48,48,7,0,0,7,0,1,22,22
Lake Morena,2018,pregoat,1,25,30,25,10,20,0,1,0,0,1,54,0,0,54,5,0,40,40,1,0,0,1
Lake Morena,2018,pregoat,2,5,3,12,5,20,0,1,1,0,1,0,0,11,11,2,2,0,2,0,0,0,0
Lake Morena,2018,pregoat,2,10,5,90,0,100,0,0,3,100,100,7,5,45,45,0,2,100,100,11,20,137,137
Lake Morena,2018,pregoat,2,15,10,7,0,20,0,0,0,0,0,7,3,0,7,1,0,0,1,0,9,75,75
Lake Morena,2018,pregoat,2,20,6,15,20,15,0,0,0,0,0,1,1,85,85,0,3,22,22,1,1,0,1
Lake Morena,2018,pregoat,2,25,3,25,35,10,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,3,3
Lake Morena,2018,pregoat,3,5,2,90,0,100,0,0,3,1200,1200,0,3,1200,1200,0,5,1200,1200,0,3,1200,1200
Lake Morena,2018,pregoat,3,10,1,75,1,45,0,0,1,5,5,0,3,45,45,0,2,0,2,0,0,2,2
Lake Morena,2018,pregoat,3,15,2,60,10,35,0,0,1,9,9,1,0,40,40,27,1,45,45,2,1,50,50
Lake Morena,2018,pregoat,3,20,5,20,20,30,0,2,1,10,10,17,1,0,17,0,0,1,1,0,1,60,60
Lake Morena,2018,pregoat,3,25,1,2,85,8,0,1,0,0,1,0,0,0,0,2,1,51,51,0,0,9,9
Lake Morena,2018,pregoat,4,5,25,95,0,75,0,12,3,4,12,5,2,30,30,3,2,26,26,12,2,38,38
Lake Morena,2018,pregoat,4,10,1,95,0,80,0,0,8,800,800,0,5,800,800,4,3,800,800,0,3,800,800
Lake Morena,2018,pregoat,4,15,1,97,0,90,0,0,2,900,900,0,5,900,900,0,3,900,900,0,2,900,900
Lake Morena,2018,pregoat,4,20,5,90,0,90,0,4,5,700,700,0,1,700,700,5,1,700,700,15,7,700,700
Lake Morena,2018,pregoat,4,25,20,60,3,65,0,0,0,39,39,0,1,7,7,29,1,7,29,20,2,0,20
Lake Morena,2018,pregoat,5,5,2,2,40,15,0,0,0,2,2,1,1,32,32,0,1,3,3,0,0,2,2
Lake Morena,2018,pregoat,5,10,10,7,45,25,0,8,0,0,8,0,3,9,9,2,2,0,2,3,1,0,3
Lake Morena,2018,pregoat,5,15,10,75,1,18,0,0,6,0,6,2,2,66,66,0,1,0,1,7,2,10,10
Lake Morena,2018,pregoat,5,20,3,55,20,45,0,0,3,0,3,2,2,10,10,0,2,150,150,6,2,115,115
Lake Morena,2018,pregoat,5,25,2,90,2,100,0,25,3,190,190,0,7,210,210,0,7,145,145,0,10,178,178
Lake Morena,2018,pregoat,6,5,20,6,4,55,0,17,0,31,31,0,0,0,0,1,2,24,24,0,10,24,24
Lake Morena,2018,pregoat,6,10,15,4,0.5,2,0,28,0,0,28,2,0,0,2,0,0,0,0,0,0,0,0
Lake Morena,2018,pregoat,6,15,25,9,1,25,0,0,0,30,30,0,0,0,0,0,1,20,20,0,0,10,10
Lake Morena,2018,pregoat,6,20,10,7,25,50,0,3,6,0,6,0,0,19,19,18,2,0,18,0,2,110,110
Lake Morena,2018,pregoat,6,25,9,80,4,8,0,0,1,0,1,3,0,0,3,0,0,10,10,6,2,0,6
Lake Morena,2018,pregoat,7,5,1,1,93,5,0,1,0,0,1,1,0,89,89,0,0,0,0,0,0,5,5
Lake Morena,2018,pregoat,7,10,30,50,6,15,0,1,0,0,1,7,1,24,24,0,0,13,13,31,1,0,31
Lake Morena,2018,pregoat,7,15,8,20,4,85,0,1,0,24,24,0,0,12,12,0,1,27,27,0,0,23,23
Lake Morena,2018,pregoat,7,20,20,5,25,20,0,0,0,0,0,4,0,6,6,3,1,0,3,1,0,79,79
Lake Morena,2018,pregoat,7,25,4,1,80,16,0,1,0,48,48,0,0,8,8,0,0,21,21,1,0,10,10
Lake Morena,2018,pregoat,8,5,8,50,0,50,0,0,0,0,0,0,1,97,97,0,0,0,0,0,3,7,7
Lake Morena,2018,pregoat,8,10,15,15,75,10,0,0,0,0,0,0,1,0,1,14,1,0,14,0,2,82,82
Lake Morena,2018,pregoat,8,15,2,10,65,25,0,1,1,0,1,5,2,44,44,0,2,0,2,0,2,60,60
Lake Morena,2018,pregoat,8,20,7,5,85,12,0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,75,75
Lake Morena,2018,pregoat,8,25,8,70,20,5,0,0,1,0,1,4,2,0,4,0,0,160,160,1,1,99,99
Lake Morena,2018,pregoat,9,5,2,7,30,65,0,0,0,39,39,2,1,31,31,7,2,75,75,0,0,80,80
Lake Morena,2018,pregoat,9,10,1,60,2,5,0,0,3,17,17,0,2,7,7,0,0,0,0,3,0,0,3
Lake Morena,2018,pregoat,9,15,2,2,5,15,0,0,0,0,0,0,0,0,0,10,0,80,80,12,1,30,30
Lake Morena,2018,pregoat,9,20,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Morena,2018,pregoat,9,25,10,20,10,70,0,27,9,32,32,0,1,23,23,0,0,0,0,10,0,0,10
Lake Morena,2018,pregoat,10,5,5,20,55,20,0,1,1,22,22,1,1,6,6,2,0,47,47,0,0,0,0
Lake Morena,2018,pregoat,10,10,1,1,96,2,0,0,1,0,1,0,0,4,4,9,0,0,9,2,0,0,2
Lake Morena,2018,pregoat,10,15,7,10,80,20,0,1,0,0,1,0,1,40,40,0,1,36,36,1,0,0,1
Lake Morena,2018,pregoat,10,20,15,25,65,3,0,0,0,0,0,2,0,0,2,12,1,27,27,1,0,0,1
Lake Morena,2018,pregoat,10,25,8,75,8,25,0,9,1,5,9,2,0,0,2,1,1,3,3,3,1,85,85
Lake Morena,2018,pregoat,11,5,3,90,3,1,0,3,1,0,3,0,2,0,2,0,1,0,1,1,1,0,1
Lake Morena,2018,pregoat,11,10,1,9,0,95,0,0,1,17,17,0,3,900,900,0,2,900,900,0,2,900,900
Lake Morena,2018,pregoat,11,15,0,95,2,50,0,3,1,5,5,0,1,31,31,0,0,900,900,0,3,14,14
Lake Morena,2018,pregoat,11,20,5,85,5,50,0,85,0,0,85,2,1,40,40,0,1,45,45,10,2,0,10
Lake Morena,2018,pregoat,11,25,2,90,5,6,0,0,1,20,20,0,1,10,10,1,1,55,55,0,1,60,60
Lake Morena,2018,pregoat,12,5,0.5,20,75,5,0,0,0,0,0,0,1,8,8,0,0,0,0,0,2,0,2
Lake Morena,2018,pregoat,12,10,1,3,70,8,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,1,1
Lake Morena,2018,pregoat,12,15,2,5,55,20,0,0,3,35,35,3,3,0,3,6,1,20,20,2,0,0,2
Lake Morena,2018,pregoat,12,20,12,5,70,25,0,0,0,0,0,0,0,95,95,0,0,0,0,12,0,0,12
Lake Morena,2018,pregoat,12,25,5,5,65,45,0,0,0,10,10,0,1,70,70,0,0,30,30,0,0,18,18
Lake Morena,2018,pregoat,13,5,25,5,35,35,0,0,0,0,0,0,0,0,0,37,1,38,38,2,1,64,64
Lake Morena,2018,pregoat,13,10,6,50,35,10,0,5,1,67,67,2,1,0,2,0,0,0,0,0,0,7,7
Lake Morena,2018,pregoat,13,15,10,20,60,15,0,1,0,0,1,0,2,68,68,1,0,5,5,1,0,0,1
Lake Morena,2018,pregoat,13,20,2,3,90,10,0,0,0,75,75,0,0,13,13,1,0,0,1,0,0,0,0
Lake Morena,2018,pregoat,13,25,45,35,23,3,0,0,0,0,0,3,2,0,3,1,0,5,5,3,0,0,3
Lake Morena,2018,pregoat,14,5,20,20,10,50,0,3,1,0,3,2,2,0,2,0,0,105,105,11,1,0,11
Lake Morena,2018,pregoat,14,10,25,18,55,2,0,0,0,4,4,0,2,0,2,0,0,0,0,3,1,0,3
Lake Morena,2018,pregoat,14,15,35,5,25,36,0,2,1,0,2,3,0,0,3,0,0,0,0,1,1,101,101
Lake Morena,2018,pregoat,14,20,20,55,4,15,0,1,1,8,8,3,2,4,4,2,1,6,6,1,1,115,115
Lake Morena,2018,pregoat,14,25,15,50,35,5,0,1,0,0,1,2,2,0,2,0,0,0,0,2,1,57,57
Lake Morena,2018,pregoat,15,5,2,5,20,80,0,0,2,8,8,0,2,10,10,2,1,6,6,0,0,4,4
Lake Morena,2018,pregoat,15,10,12,55,2,62,0,80,2,18,80,0,0,11,11,4,2,0,4,0,5,42,42
Lake Morena,2018,pregoat,15,15,8,20,25,7,0,0,0,3,3,0,0,7,7,2,0,0,2,8,0,0,8
Lake Morena,2018,pregoat,15,20,7,45,10,40,0,0,1,5,5,1,0,9,9,47,1,48,48,0,2,14,14
Lake Morena,2018,pregoat,15,25,60,30,1,9,0,9,2,0,9,0,3,15,15,5,2,22,22,23,2,19,23
Lake Morena,2018,pregoat,16,5,40,60,0,90,0,50,0,100,100,125,6,800,800,55,12,800,800,88,0,800,800
Lake Morena,2018,pregoat,16,10,30,75,0,100,0,100,0,800,800,68,2,800,800,130,5,800,800,110,1,800,800
Lake Morena,2018,pregoat,16,15,1,25,0,100,0,0,2,18,18,0,3,21,21,0,3,15,15,0,3,30,30
Lake Morena,2018,pregoat,16,20,1,25,2,95,0,0,5,64,64,0,6,41,41,2,2,0,2,0,2,10,10
Lake Morena,2018,pregoat,16,25,2,55,3,80,0,0,2,75,75,0,4,69,69,8,1,61,61,1,1,99,99
Lake Morena,2018,pregoat,17,5,20,40,10,25,0,0,0,5,5,0,1,0,1,1,1,26,26,7,1,3,7
Lake Morena,2018,pregoat,17,10,20,20,2,65,0,6,1,4,6,0,0,2,2,9,0,3,9,2,1,15,15
Lake Morena,2018,pregoat,17,15,15,90,1,10,0,3,2,0,3,2,0,0,2,4,3,0,4,4,2,63,63
Lake Morena,2018,pregoat,17,20,2,1,95,5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,53,53
Lake Morena,2018,pregoat,17,25,25,10,40,25,0,7,1,0,7,0,0,0,0,5,1,17,17,0,3,0,3
Lake Morena,2018,pregoat,18,5,2,10,90,1,0,0,0,0,0,0,0,3,3,9,0,0,9,0,0,4,4
Lake Morena,2018,pregoat,18,10,2,15,5,45,0,0,1,6,6,1,0,40,40,0,1,82,82,0,2,22,22
Lake Morena,2018,pregoat,18,15,3,20,35,25,0,1,0,0,1,0,2,20,20,0,1,0,1,0,0,0,0
Lake Morena,2018,pregoat,18,20,5,30,20,35,0,3,0,2,3,0,1,5,5,1,1,80,80,0,0,56,56
Lake Morena,2018,pregoat,18,25,4,25,75,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3
Lake Morena,2018,pregoat,19,5,60,100,0,15,0,35,2,0,35,50,10,230,230,30,4,220,220,15,9,400,400
Lake Morena,2018,pregoat,19,10,12,98,0,8,0,2,1,120,120,44,1,115,115,0,1,0,1,0,3,122,122
Lake Morena,2018,pregoat,19,15,50,99,0,25,0,40,1,250,250,40,1,100,100,50,4,120,120,60,3,190,190
Lake Morena,2018,pregoat,19,20,35,95,0,10,0,100,1,0,100,102,1,210,210,50,2,0,50,70,3,200,200
Lake Morena,2018,pregoat,19,25,10,100,0,95,0,0,4,390,390,60,4,380,380,60,4,380,380,0,4,380,380
Lake Morena,2018,pregoat,20,5,55,15,2,30,0,17,2,84,84,2,0,89,89,2,0,102,102,30,1,97,97
Lake Morena,2018,pregoat,20,10,50,60,2,35,0,2,1,86,86,0,1,94,94,82,0,107,107,90,4,95,95
Lake Morena,2018,pregoat,20,15,10,15,25,40,0,1,1,0,1,2,0,0,2,0,0,180,180,2,1,0,2
Lake Morena,2018,pregoat,20,20,6,95,0,80,0,61,1,230,230,0,1,230,230,2,1,73,73,89,3,77,89
Lake Morena,2018,pregoat,20,25,35,85,0,75,0,1,0,93,93,34,1,81,81,40,1,86,86,29,2,66,66
Lake Morena,2018,pregoat,21,5,15,35,25,1,0,92,5,0,92,32,1,35,35,200,1,160,200,80,0,148,148
Lake Morena,2018,pregoat,21,10,60,90,5,70,0,14,1,300,300,0,2,160,160,150,3,250,250,90,2,230,230
Lake Morena,2018,pregoat,21,15,25,90,2,30,0,110,2,130,130,180,1,0,180,105,8,190,190,115,5,200,200
Lake Morena,2018,pregoat,21,20,45,65,3,25,0,0,1,240,240,64,5,8,64,120,2,150,150,55,3,101,101
Lake Morena,2018,pregoat,21,25,80,95,0,12,0,6,5,230,230,150,5,300,300,90,2,0,90,115,3,140,140
Lake Morena,2018,pregoat,22,5,20,15,75,2,0,2,0,0,2,0,1,105,105,10,0,0,10,1,0,96,96
Lake Morena,2018,pregoat,22,10,2,70,1,70,0,0,0,0,0,0,2,97,97,0,1,100,100,0,2,155,155
Lake Morena,2018,pregoat,22,15,75,60,0,85,0,92,0,70,92,84,1,152,152,53,3,113,113,70,1,110,110
Lake Morena,2018,pregoat,22,20,70,60,0,80,0,89,4,113,113,44,0,69,69,71,1,82,82,82,0,0,82
Lake Morena,2018,pregoat,22,25,8,15,75,10,0,94,0,104,104,0,0,0,0,62,1,90,90,88,0,120,120
Lake Morena,2018,pregoat,23,5,40,90,0,75,0,70,0,100,100,60,1,105,105,20,2,90,90,130,3,180,180
Lake Morena,2018,pregoat,23,10,50,80,2,65,0,110,1,200,200,105,1,240,240,115,1,240,240,110,1,110,110
Lake Morena,2018,pregoat,23,15,85,60,5,30,0,25,2,150,150,140,1,155,155,70,1,150,150,150,1,280,280
Lake Morena,2018,pregoat,23,20,80,70,0,30,0,22,1,0,22,16,2,101,101,100,1,110,110,130,1,170,170
Lake Morena,2018,pregoat,23,25,25,40,15,70,0,110,1,210,210,120,0,210,210,140,1,220,220,140,1,220,220
Lake Morena,2018,pregoat,24,5,40,35,20,25,0,81,0,180,180,95,0,114,114,114,3,127,127,136,0,107,136
Lake Morena,2018,pregoat,24,10,20,5,15,20,0,113,1,84,113,0,1,0,1,0,0,0,0,90,1,196,196
Lake Morena,2018,pregoat,24,15,10,5,35,38,0,1,0,74,74,127,2,113,127,62,0,190,190,0,0,111,111
Lake Morena,2018,pregoat,24,20,20,3,60,15,0,62,0,0,62,92,0,0,92,0,0,0,0,100,3,91,100
Lake Morena,2018,pregoat,24,25,50,2,10,38,0,0,0,0,0,10,1,110,110,54,1,130,130,1,1,155,155
Lake Morena,2018,pregoat,25,5,10,95,1,2,0,0,0,0,0,1,1,115,115,170,0,0,170,2,1,0,2
Lake Morena,2018,pregoat,25,10,35,70,6,2,0,36,1,57,57,0,0,0,0,65,2,55,65,34,2,0,34
Lake Morena,2018,pregoat,25,15,5,95,1,60,0,105,4,60,105,74,5,145,145,40,4,210,210,45,5,220,220
Lake Morena,2018,pregoat,25,20,3,99,0,2,0,0,0,0,0,0,3,104,104,1,1,0,1,3,2,0,3
