Location,Year,time,Plot #,Rep,Cov_Wood,Cov_Litter,Cov_BG,Cov_Veg,Cov_Feces,HT1_Wood,HT1_Litter,HT1_Veg,HT1,HT2_Wood,HT2_Litter,HT2_Veg,HT2,HT3_Wood,HT3_Litter,HT3_Veg,HT3,HT4_Wood,HT4_Litter,HT4_Veg,HT4
Lake Morena,2018,pregoat,25,25,6,99,0,75,0,50,3,205,205,0,4,210,210,0,4,220,220,55,4,200,200
Lake Morena,2018,pregoat,26,5,9,95,3,15,0,0,1,180,180,1,1,170,140,0,1,185,185,110,3,200,200
Lake Morena,2018,pregoat,26,10,20,40,20,35,0,192,0,0,192,80,0,130,130,33,0,150,150,120,0,200,200
Lake Morena,2018,pregoat,26,15,6,100,0,90,0,70,4,200,200,3,4,230,230,1,4,290,290,35,4,280,280
Lake Morena,2018,pregoat,26,20,9,100,0,15,0,2,3,300,300,97,4,102,102,176,3,240,240,135,4,285,285
Lake Morena,2018,pregoat,26,25,4,100,0,35,0,0,2,0,2,0,2,260,260,120,3,200,200,270,1,300,300
Lake Morena,2018,pregoat,27,5,15,50,10,20,0,3,1,112,112,0,0,0,0,2,1,125,125,50,1,35,35
Lake Morena,2018,pregoat,27,10,4,85,6,27,0,0,0,156,156,102,0,0,102,104,1,80,104,0,1,0,1
Lake Morena,2018,pregoat,27,15,5,90,3,30,0,14,1,110,110,20,1,110,110,30,2,155,155,145,5,0,145
Lake Morena,2018,pregoat,27,20,10,85,2,7,0,0,0,0,0,2,1,116,116,35,2,70,70,1,1,0,1
Lake Morena,2018,pregoat,27,25,5,99,1,60,0,4,2,210,210,3,1,280,280,0,1,270,270,26,1,220,220
Lake Morena,2018,pregoat,28,5,1,1,99,5,0,0,2,0,2,0,0,0,0,1,0,105,105,0,0,73,73
Lake Morena,2018,pregoat,28,10,10,90,2,100,0,88,1,200,200,1,2,250,250,62,2,250,250,99,3,250,250
Lake Morena,2018,pregoat,28,15,20,20,2,45,0,0,0,89,89,66,0,0,66,2,1,111,111,0,1,73,73
Lake Morena,2018,pregoat,28,20,10,70,15,40,0,115,1,0,115,50,1,120,50,0,0,120,120,24,1,115,115
Lake Morena,2018,pregoat,28,25,20,30,10,10,0,2,1,0,2,20,0,98,98,50,0,0,50,39,1,98,98
Lake Morena,2018,postgoat,2,5,2.5,30,12,1,0,,,,2,,,,0,,,,1,,,,0
Lake Morena,2018,postgoat,2,10,3,98,0,88,0,,,,82,,,,87,,,,98,,,,38
Lake Morena,2018,postgoat,2,15,15,70,18,35,0,,,,15,,,,0,,,,76,,,,37
Lake Morena,2018,postgoat,2,20,5,5,25,1,0,,,,0,,,,0,,,,0,,,,3
Lake Morena,2018,postgoat,2,25,4,26,74,2,0,,,,22,,,,1,,,,2,,,,1
Lake Morena,2018,postgoat,3,5,2.5,85,15,80,0.5,,,,1,,,,1,,,,0,,,,2
Lake Morena,2018,postgoat,3,10,1,85,11,28,0.5,,,,1,,,,34,,,,12,,,,1
Lake Morena,2018,postgoat,3,15,3,55,40,10,1,,,,44,,,,1,,,,105,,,,23
Lake Morena,2018,postgoat,3,20,15,65,20,5,0.5,,,,4,,,,1,,,,1,,,,1
Lake Morena,2018,postgoat,3,25,1,10,89,3,0.5,,,,0,,,,0,,,,61,,,,0
Lake Morena,2018,postgoat,4,5,6,94,1,25,0.5,,,,500,,,,500,,,,500,,,,500
Lake Morena,2018,postgoat,4,10,5,97,2,85,0.5,,,,900,,,,900,,,,900,,,,900
Lake Morena,2018,postgoat,4,15,97,2,2,85,0.5,,,,730,,,,730,,,,730,,,,730
Lake Morena,2018,postgoat,4,20,4,55,40,40,0.5,,,,29,,,,790,,,,41,,,,1
Lake Morena,2018,postgoat,4,25,2,5,94,3,1.5,,,,1,,,,2,,,,0,,,,0
Lake Morena,2018,postgoat,5,5,3,5,94,5,1,,,,0,,,,0,,,,3,,,,44
Lake Morena,2018,postgoat,5,10,10,7,85,1,0.5,,,,0,,,,1,,,,2,,,,21
Lake Morena,2018,postgoat,5,15,12,85,6,15,0.5,,,,63,,,,23,,,,2,,,,1
Lake Morena,2018,postgoat,5,20,7,87,6,45,0.5,,,,1,,,,2,,,,143,,,,114
Lake Morena,2018,postgoat,5,25,2,98,0.5,43,0.5,,,,100,,,,48,,,,182,,,,155
Lake Morena,2018,postgoat,6,5,35,40,15,8,0.5,,,,1,,,,1,,,,4,,,,76
Lake Morena,2018,postgoat,6,10,5,27,7,1,0.5,,,,0,,,,0,,,,0,,,,0
Lake Morena,2018,postgoat,6,15,6,42,0.5,0.5,0.5,,,,2,,,,0,,,,1,,,,2
Lake Morena,2018,postgoat,6,20,6,35,2,45,0.5,,,,0,,,,3,,,,0,,,,47
Lake Morena,2018,postgoat,6,25,5,20,50,0,0.5,,,,1,,,,1,,,,2,,,,2
Lake Morena,2018,postgoat,7,5,2,3,98,0.5,0,,,,0,,,,1,,,,0,,,,0
Lake Morena,2018,postgoat,7,10,25,60,10,0.5,1,,,,0.5,,,,6,,,,1,,,,0
Lake Morena,2018,postgoat,7,15,4,40,60,9,0.5,,,,15,,,,2,,,,9,,,,0
Lake Morena,2018,postgoat,7,20,23,70,25,2,1,,,,0.5,,,,1,,,,62,,,,0
Lake Morena,2018,postgoat,7,25,5,4,92,20,0.5,,,,1,,,,0,,,,41,,,,1
Lake Morena,2018,postgoat,8,5,3,60,0,1,1,,,,64,,,,0,,,,0,,,,0.5
Lake Morena,2018,postgoat,8,10,9,15,80,6,0.5,,,,2,,,,0,,,,9,,,,57
Lake Morena,2018,postgoat,8,15,2,8,92,6,0.5,,,,1,,,,85,,,,25,,,,0.5
Lake Morena,2018,postgoat,8,20,14,4,95,6,1,,,,0,,,,0,,,,0,,,,51
Lake Morena,2018,postgoat,8,25,10,30,58,0.5,1,,,,12,,,,0,,,,0,,,,2
Lake Morena,2018,postgoat,9,5,3,30,60,35,0.5,,,,53,,,,0,,,,49,,,,56
Lake Morena,2018,postgoat,9,10,4,30,45,0.5,1,,,,2,,,,10,,,,0,,,,0.5
Lake Morena,2018,postgoat,9,15,18,40,10,23,3,,,,1,,,,52,,,,0,,,,0
Lake Morena,2018,postgoat,9,20,0,10,5,0.5,2,,,,0,,,,0,,,,0,,,,0
Lake Morena,2018,postgoat,9,25,15,70,30,30,0,,,,34,,,,58,,,,7,,,,41
Lake Morena,2018,postgoat,10,5,4,60,40,10,0.5,,,,22,,,,7,,,,55,,,,3
Lake Morena,2018,postgoat,10,10,2,6,94,0.5,0.5,,,,0,,,,0,,,,0,,,,3
Lake Morena,2018,postgoat,10,15,5,35,65,25,0,,,,1,,,,1,,,,55,,,,64
Lake Morena,2018,postgoat,10,20,2,25,75,1.5,0.5,,,,0,,,,1,,,,16,,,,17
Lake Morena,2018,postgoat,10,25,7,85,15,20,0.5,,,,0,,,,2,,,,2,,,,70
Lake Morena,2018,postgoat,11,5,3,30,70,1,0.5,,,,1,,,,1,,,,1,,,,0
Lake Morena,2018,postgoat,11,10,1,93,7,80,0.5,,,,800,,,,800,,,,800,,,,2
Lake Morena,2018,postgoat,11,15,2,97,3,90,0.5,,,,830,,,,830,,,,830,,,,32
Lake Morena,2018,postgoat,11,20,10,70,30,35,0.5,,,,4,,,,50,,,,48,,,,0
Lake Morena,2018,postgoat,11,25,7,55,45,25,0.5,,,,1,,,,11,,,,51,,,,97
Lake Morena,2018,postgoat,12,5,2,4,92,1,6,,,,4,,,,0,,,,1,,,,144
Lake Morena,2018,postgoat,12,10,3,2,89.5,1,1.5,,,,0,,,,0,,,,0,,,,0
Lake Morena,2018,postgoat,12,15,8,5,85.5,0.5,1,,,,2,,,,0,,,,0,,,,30
Lake Morena,2018,postgoat,12,20,3,1,90,5,0.5,,,,10,,,,0,,,,1,,,,15
Lake Morena,2018,postgoat,12,25,15,4,79.5,1,0.5,,,,2,,,,26,,,,2,,,,1
Lake Morena,2018,postgoat,13,5,28,11,75,15,0,,,,0,,,,15,,,,88,,,,62
Lake Morena,2018,postgoat,13,10,3,37,55,15,0,,,,0,,,,37,,,,0,,,,1
Lake Morena,2018,postgoat,13,15,5,30,65,10,1,,,,27,,,,0.5,,,,1,,,,64
Lake Morena,2018,postgoat,13,20,2,6,93,2,0.5,,,,0,,,,0,,,,0,,,,90
Lake Morena,2018,postgoat,13,25,40,40,40,1,0,,,,0,,,,2,,,,0.5,,,,2
Lake Morena,2018,postgoat,14,5,4.5,88,8,35,0.5,,,,1,,,,2,,,,10,,,,130
Lake Morena,2018,postgoat,14,10,30,35,60,0,1,,,,2,,,,0,,,,2,,,,1
Lake Morena,2018,postgoat,14,15,25,40,60,30,0,,,,0,,,,1,,,,0,,,,86
Lake Morena,2018,postgoat,14,20,15,79,20,6,0.5,,,,2,,,,1,,,,2,,,,52
Lake Morena,2018,postgoat,14,25,6,49,49,3,0.5,,,,0,,,,1,,,,0,,,,80
Lake Morena,2018,postgoat,15,5,2,25,75,0.5,0.5,,,,0,,,,0,,,,0,,,,1
Lake Morena,2018,postgoat,15,10,30,30,50,2,0.5,,,,75,,,,1,,,,8,,,,60
Lake Morena,2018,postgoat,15,15,2,40,60,0,1,,,,1,,,,1,,,,0,,,,0
Lake Morena,2018,postgoat,15,20,4,65,35,3,0.5,,,,1,,,,2,,,,1,,,,73
Lake Morena,2018,postgoat,15,25,70,60,20,5,0,,,,38,,,,56,,,,1,,,,3
Lake Morena,2018,postgoat,16,5,55,50,2,75,0,,,,850,,,,850,,,,200,,,,350
Lake Morena,2018,postgoat,16,10,1,85,0.5,99,1.5,,,,600,,,,600,,,,600,,,,600
Lake Morena,2018,postgoat,16,15,2,92,7,5,1,,,,1,,,,59,,,,1,,,,0
Lake Morena,2018,postgoat,16,20,1,80,15,30,0.5,,,,3,,,,4,,,,1,,,,0
Lake Morena,2018,postgoat,16,25,0.5,97,3,25,0.5,,,,0,,,,50,,,,67,,,,90
Lake Morena,2018,postgoat,17,5,1,40,6,0.5,0.5,,,,0,,,,0,,,,1,,,,1
Lake Morena,2018,postgoat,17,10,22,73,5,0.5,0,,,,4,,,,2,,,,0,,,,2
Lake Morena,2018,postgoat,17,15,28,66,6,0.5,0.5,,,,1,,,,0,,,,1,,,,1
Lake Morena,2018,postgoat,17,20,5,5,90,0.5,0.5,,,,0,,,,0,,,,1,,,,1
Lake Morena,2018,postgoat,17,25,10,45,30,33,0,,,,4,,,,2,,,,17,,,,30
Lake Morena,2018,postgoat,19,5,60,80,2,25,N/A,,,,64,,,,220,,,,380,,,,125
Lake Morena,2018,postgoat,19,10,10,95,0.5,22,N/A,,,,45,,,,125,,,,1,,,,120
Lake Morena,2018,postgoat,19,15,62,85,3,29,N/A,,,,35,,,,138,,,,150,,,,230
Lake Morena,2018,postgoat,19,20,10,92,3,25,N/A,,,,1,,,,210,,,,99,,,,149
Lake Morena,2018,postgoat,19,25,6,98,0,81,N/A,,,,70,,,,300,,,,290,,,,300
Lake Morena,2018,postgoat,20,5,80,30,0,20,N/A,,,,75,,,,76,,,,100,,,,111
Lake Morena,2018,postgoat,20,10,35,68,0,47,N/A,,,,10,,,,90,,,,105,,,,76
Lake Morena,2018,postgoat,20,15,5,75,5,25,N/A,,,,10,,,,1,,,,3,,,,152
Lake Morena,2018,postgoat,20,20,7,95,0,65,N/A,,,,55,,,,98,,,,172,,,,180
Lake Morena,2018,postgoat,20,25,6,95,0,75,N/A,,,,69,,,,94,,,,91,,,,60
Lake Morena,2018,postgoat,21,5,15,95,3,35,N/A,,,,275,,,,176,,,,270,,,,48
Lake Morena,2018,postgoat,21,10,10,92,0.5,55,N/A,,,,194,,,,308,,,,268,,,,20
Lake Morena,2018,postgoat,21,15,7,95,4,35,N/A,,,,220,,,,290,,,,210,,,,147
Lake Morena,2018,postgoat,21,20,15,96,2,30,N/A,,,,170,,,,4,,,,192,,,,89
Lake Morena,2018,postgoat,21,25,35,98,0.5,20,N/A,,,,117,,,,131,,,,78,,,,76
Lake Morena,2018,postgoat,22,5,8,50,50,6,N/A,,,,0,,,,50,,,,10,,,,1
Lake Morena,2018,postgoat,22,10,1,80,1,70,N/A,,,,1,,,,145,,,,120,,,,135
Lake Morena,2018,postgoat,22,15,15,92,0.5,62,N/A,,,,105,,,,136,,,,130,,,,100
Lake Morena,2018,postgoat,22,20,5,72,3,55,N/A,,,,85,,,,88,,,,70,,,,0
Lake Morena,2018,postgoat,22,25,4,60,28,3,N/A,,,,115,,,,1,,,,1,,,,84
Lake Morena,2018,postgoat,23,5,7,98,0,95,N/A,,,,155,,,,180,,,,120,,,,175
Lake Morena,2018,postgoat,23,10,8,97,0,95,N/A,,,,157,,,,140,,,,145,,,,160
Lake Morena,2018,postgoat,23,15,40,90,0,35,N/A,,,,50,,,,193,,,,2,,,,130
Lake Morena,2018,postgoat,23,20,56,80,0.5,35,N/A,,,,0,,,,1,,,,2,,,,125
Lake Morena,2018,postgoat,23,25,15,96,0.5,93,N/A,,,,240,,,,240,,,,200,,,,220
Lake Morena,2018,postgoat,24,5,7,99,0.5,60,N/A,,,,73,,,,99,,,,141,,,,168
Lake Morena,2018,postgoat,24,10,15,70,30,8,N/A,,,,1,,,,0,,,,140,,,,135
Lake Morena,2018,postgoat,24,15,12,94,5,50,N/A,,,,73,,,,148,,,,144,,,,168
Lake Morena,2018,postgoat,24,20,25,15,80,7,N/A,,,,70,,,,0,,,,57,,,,119
Lake Morena,2018,postgoat,24,25,25,96,1,10,N/A,,,,152,,,,141,,,,105,,,,98
Lake Morena,2018,postgoat,25,5,20,99,0.5,0.5,N/A,,,,1,,,,130,,,,2,,,,180
Lake Morena,2018,postgoat,25,10,30,85,1,4,N/A,,,,78,,,,70,,,,0,,,,62
Lake Morena,2018,postgoat,25,15,3,95,2,80,N/A,,,,99,,,,180,,,,140,,,,191
Lake Morena,2018,postgoat,25,20,2,98,0,12,N/A,,,,2,,,,0,,,,1,,,,159
Lake Morena,2018,postgoat,25,25,5,99,0,85,N/A,,,,250,,,,220,,,,277,,,,265
Lake Morena,2018,postgoat,26,5,10,82,10,35,N/A,,,,123,,,,210,,,,1,,,,200
Lake Morena,2018,postgoat,26,10,5,5,93,1.5,N/A,,,,121,,,,2,,,,0,,,,121
Lake Morena,2018,postgoat,26,15,7,95,0,90,N/A,,,,163,,,,142,,,,199,,,,189
Lake Morena,2018,postgoat,26,20,20,90,0,93,N/A,,,,210,,,,285,,,,210,,,,285
Lake Morena,2018,postgoat,26,25,4,98,0,91,N/A,,,,250,,,,400,,,,290,,,,230
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
